acquisitiondate,boro,zipcode,address,eapply,location,acres,typecategory,retired
1893 Nov 01 12:00:00 AM,Manhattan,10039,"NA, New York, NY",Percy E. Sutton Playground,"Harlem River Dr., W. 151 St. To W. 154 St.",1.635,Neighborhood Park,FALSE
1856 Feb 05 12:00:00 AM,Manhattan,"10023, 10024, 10025","1000 5 AVENUE, New York, NY",Central Park,"5 Av To Central Park W, 59 St To 110 St",840.01,Flagship Park,FALSE
2006 Feb 24 12:00:00 AM,Manhattan,"10001, 10011, 10014","NA, New York, NY",The High Line,Gansevoort St. To W. 30 St. bet. Washington St. and 11 Ave.,6.73,Community Park,FALSE
NA,Manhattan,"10028, 10029, 10035, 10128","NA, New York, NY",East River Esplanade 90th-125th,"FDR Drive, E 90 St. To E 125 St.",8.595,Waterfront Facility,FALSE
1835 Apr 08 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Randall's Island Park,East River and Harlem River,254.3,Flagship Park,FALSE
1957 Jun 27 12:00:00 AM,Manhattan,10002,"288 DELANCEY STREET, New York, NY",Baruch Playground,Corner of Baruch Pl. and Mangin St.,2.32,Recreational Field/Courts,FALSE
1911 May 25 12:00:00 AM,Manhattan,"10026, 10027, 10030, 10039","NA, New York, NY",Adam Clayton Powell Jr. Malls,"7 Ave., W. 110 St. To W. 152 St.",1.679,Mall,FALSE
1939 Feb 24 12:00:00 AM,Manhattan,10002,"NA, New York, NY",John V. Lindsay East River Park,"Montgomery St. To E. 12 St., FDR Drive",45.879999999999995,Community Park,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10032,"NA, New York, NY",Harris Garden,W. 153 St. and St Nicholas Ave.,0.109,Garden,FALSE
1908 Apr 09 12:00:00 AM,Manhattan,"10025, 10027","NA, New York, NY",Broadway Malls 110th-122nd,"Broadway, W 110 StTo W 122 St",1.3,Mall,FALSE
1938 Nov 03 12:00:00 AM,Manhattan,"10031, 10032","NA, New York, NY",Recreational Area,"W. 145 St., W. 155 St., Hudson River",23.093,Community Park,FALSE
1908 Apr 09 12:00:00 AM,Manhattan,"10031, 10032","NA, New York, NY",Broadway Malls 135th-156th,"Broadway, W. 135 St. To W. 156 St.",2.198,Mall,FALSE
1908 Apr 09 12:00:00 AM,Manhattan,10032,"NA, New York, NY",Broadway Malls 156th-168th,"Broadway, W 156 St To W 168 St",1.139,Mall,FALSE
